ward,year,population,groundwater_Area No.,groundwater_Jan ,groundwater_Feb,groundwater_Mar,groundwater_Apr ,groundwater_May,groundwater_Jun,groundwater_Jul,groundwater_Aug,groundwater_Sep,groundwater_Oct,groundwater_Nov,groundwater_Dec,lake_storage_Jan (in mcft),lake_storage_Feb,lake_storage_Mar,lake_storage_Apr,lake_storage_May,lake_storage_Jun,lake_storage_Jul,lake_storage_Aug,lake_storage_Sep,lake_storage_Oct,lake_storage_Nov,lake_storage_Dec,lake_storage_Lake,rainfall__id,rainfall_District,rainfall_Station,rainfall_Rainfall
1,2021,57723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022,57723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023,57723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024,57723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,50385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,50385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023,50385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024,50385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021,43112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022,43112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023,43112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024,43112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021,20961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,20961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,20961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024,20961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021,38446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022,38446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023,38446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024,38446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021,22210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022,22210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023,22210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024,22210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021,21720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022,21720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023,21720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024,21720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021,31558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022,31558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023,31558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024,31558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021,19301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022,19301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023,19301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024,19301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021,38511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022,38511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2023,38511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024,38511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021,28146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022,28146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2023,28146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024,28146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021,17071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022,17071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2023,17071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024,17071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021,21192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022,21192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2023,21192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024,21192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021,32373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022,32373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2023,32373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024,32373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021,21589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022,21589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2023,21589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024,21589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021,23959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022,23959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2023,23959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2024,23959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021,24152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022,24152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2023,24152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024,24152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021,15719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022,15719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2023,15719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024,15719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2021,17174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022,17174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2023,17174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024,17174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2021,16921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022,16921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2023,16921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024,16921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2021,19681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2022,19681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2023,19681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024,19681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021,27698,III,64.35,72.97,85.95,103.94,113.9,123.86,96.71,92.56,85.32,77.44,17.63,38.31,3125,3243,3128,3032,2990,2784,2623,2593,2847,2964,2724,2908,Redhills,13292,Chennai,Perambur Corporation park,5.3
22,2022,27698,III,38.11,51.907,71.68,96.649,98.62,85.312,79.236,93.245,99.772,92.53,51.74,68.249,3125,3243,3128,3032,2990,2784,2623,2593,2847,2964,2724,2908,Redhills,14442,Chennai,Perambur Corporation park,66.8
22,2023,27698,III,60.03,68.491,73.977,92.88,101.09,112.086,124.297,114.187,102.554,113.465,71.62,44.014,3125,3243,3128,3032,2990,2784,2623,2593,2847,2964,2724,2908,Redhills,16417,Chennai,Ayanavaram taluk office,1.6
22,2024,27698,III,54.82,71.26,101.93,92.88,101.09,112.086,124.297,114.187,102.554,113.465,71.62,44.014,3125,3243,3128,3032,2990,2784,2623,2593,2847,2964,2724,2908,Redhills,16417,Chennai,Ayanavaram taluk office,1.6
23,2021,16510,III,64.35,72.97,85.95,103.94,113.9,123.86,96.71,92.56,85.32,77.44,17.63,38.31,3125,3243,3128,3032,2990,2784,2623,2593,2847,2964,2724,2908,Redhills,13292,Chennai,Perambur Corporation park,5.3
